1,-0.84282,0.13491,9.797
2,-0.84282,0.13491,9.797
3,-0.84282,0.13491,9.797
4,-0.84282,0.13491,9.797
5,-0.8117,0.14688,9.7683
6,-0.83085,0.15406,9.7419
7,-0.85,0.17082,9.7779
8,-0.83564,0.16603,9.8233
9,-0.82845,0.17082,9.8233
10,-0.82845,0.15885,9.785
11,-0.85,0.15167,9.73
12,-0.86437,0.13012,9.7132
13,-0.85479,0.14448,9.7563
14,-0.86676,0.1397,9.8186
15,-0.84042,0.1373,9.8281
16,-0.8524,0.12773,9.7827
17,-0.85958,0.13251,9.7515
18,-0.8524,0.13251,9.7443
19,-0.84521,0.1397,9.7467
20,-0.84761,0.14688,9.785
21,-0.83803,0.14209,9.7874
22,-0.84521,0.14448,9.7683
23,-0.85,0.14448,9.7779
24,-0.84042,0.13251,9.7707
25,-0.83564,0.1397,9.7587
26,-0.85,0.1373,9.7683
27,-0.85479,0.14448,9.7755
28,-0.84761,0.1397,9.7755
29,-0.84761,0.14448,9.7898
30,-0.83564,0.14688,9.785
31,-0.83803,0.15167,9.7611
32,-0.83324,0.1373,9.7635
33,-0.84042,0.14209,9.7755
34,-0.83324,0.14688,9.785
35,-0.83085,0.15646,9.7898
36,-0.84521,0.14688,9.7731
37,-0.8524,0.14927,9.7779
38,-0.84042,0.14927,9.7635
39,-0.8524,0.15167,9.7635
40,-0.84761,0.1397,9.7803
41,-0.85,0.14448,9.7779
42,-0.85,0.14688,9.7755
43,-0.85479,0.14209,9.785
44,-0.85,0.13491,9.7707
45,-0.84282,0.13491,9.7659
46,-0.8524,0.14688,9.7683
47,-0.84042,0.14448,9.7731
48,-0.85,0.13251,9.7731
49,-0.84761,0.13491,9.7898
50,-0.83324,0.14448,9.7803
51,-0.83803,0.14448,9.7755
52,-0.83085,0.1373,9.7635
53,-0.83803,0.15167,9.7563
54,-0.8524,0.16364,9.7755
55,-0.83564,0.14448,9.7731
56,-0.84042,0.14688,9.7779
57,-0.83803,0.1397,9.785
58,-0.85718,0.15167,9.7755
59,-0.84761,0.13012,9.7755
60,-0.85958,0.15167,9.7731
61,-0.84521,0.14448,9.7563
62,-0.84042,0.14448,9.7587
63,-0.85718,0.1397,9.7707
64,-0.84042,0.15646,9.7779
65,-0.84282,0.1373,9.7779
66,-0.84521,0.14209,9.7755
67,-0.8524,0.14209,9.7683
68,-0.83564,0.1373,9.7683
69,-0.85,0.14209,9.7755
70,-0.84761,0.14448,9.7779
71,-0.84521,0.1397,9.7827
72,-0.8524,0.14209,9.785
73,-0.84521,0.14688,9.7659
74,-0.85,0.14927,9.7755
75,-0.84282,0.15885,9.7563
76,-0.84521,0.14927,9.7659
77,-0.85958,0.14927,9.7683
78,-0.84042,0.14688,9.7779
79,-0.8524,0.13491,9.7755
80,-0.83803,0.1373,9.7803
81,-0.83324,0.13491,9.7779
82,-0.83324,0.1373,9.7587
83,-0.84042,0.13251,9.7659
84,-0.84521,0.14209,9.7755
85,-0.84042,0.14927,9.7827
86,-0.83803,0.14688,9.785
87,-0.85,0.14448,9.785
88,-0.83803,0.15406,9.7683
89,-0.85,0.15167,9.7611
90,-0.84042,0.15406,9.7587
91,-0.84521,0.15167,9.7707
92,-0.83085,0.14448,9.7779
93,-0.84282,0.14927,9.7827
94,-0.84282,0.14927,9.7779
95,-0.84282,0.1397,9.785
96,-0.84042,0.14688,9.7731
97,-0.83803,0.13491,9.7611
98,-0.85,0.1373,9.7587
99,-0.85,0.13251,9.7803
100,-0.8524,0.14209,9.7707
101,-0.85718,0.1373,9.7827
102,-0.85718,0.14448,9.7755
103,-0.86437,0.14688,9.7659
104,-0.8524,0.14688,9.7515
105,-0.8524,0.1397,9.7635
106,-0.84282,0.14209,9.7635
107,-0.85,0.14209,9.7803
108,-0.84282,0.1397,9.785
